Nachname;Vorname;Klasse;Gender;Birthday;Hochsprung;Weitsprung;Age;Kugelstossen;;
Sommer;Thomas;;male;1/18/2003;;x;13;Weitsprung;;01.01.2001
Schulze;Jennifer;;female;9/24/2002;;x;13;Weitsprung;;
K�hler;Mike;;male;4/25/1998;x;;17;Hochsprung;;
Rothstein;Rene;;male;6/24/1998;;x;17;Weitsprung;;
Ostermann;Christian;;male;9/26/1998;;x;17;Weitsprung;;
Egger;Paul;;male;7/28/1998;;x;17;Weitsprung;;
Krueger;Ralf;;male;4/27/1999;x;;16;Hochsprung;;
Moeller;Markus;;male;12.11.1997;x;;18;Hochsprung;;
Huber;Steffen;;male;06.03.1997;;x;18;Weitsprung;;
Freitag;Klaus;;male;10/28/1998;x;;17;Hochsprung;;
Rothstein;Kristin;;female;12.10.2001;x;;14;Hochsprung;;
Gottschalk;Gabriele;;female;5/30/2000;x;;15;Hochsprung;;
Decker;Thorsten;;male;6/21/1997;x;;18;Hochsprung;;
Dietrich;Sara;;female;8/13/2002;;x;13;Weitsprung;;
Maurer;Sara;;female;12/30/2002;x;;13;Hochsprung;;
Busch;Ralph;;male;02.01.1998;;x;18;Weitsprung;;
Frey;Nicole;;female;8/23/1998;;x;17;Weitsprung;;
Vogel;Sandra;;female;04.11.1999;x;;16;Hochsprung;;
Egger;Michael;;male;10/15/2002;;x;13;Weitsprung;;
Kirsch;Birgit;;female;6/14/1997;;x;18;Weitsprung;;
Drescher;Mike;;male;8/23/1999;;x;16;Weitsprung;;
Ebersbach;Steffen;;male;10/28/2000;;x;15;Weitsprung;;
Bumgarner;Niklas;;male;05.04.2002;;x;13;Weitsprung;;
Peters;Benjamin;;male;9/29/1998;x;;17;Hochsprung;;
Ostermann;Petra;;female;5/30/2000;x;;15;Hochsprung;;
Lemann;Michael;;male;04.11.1997;x;;18;Hochsprung;;
Herman;Lucas;;male;8/22/1997;x;;18;Hochsprung;;
Engel;Thomas;;male;8/24/1999;;x;16;Weitsprung;;
Adler;Gabriele;;female;3/23/2000;x;;15;Hochsprung;;
Beike;Martin;;male;5/15/1997;;x;18;Weitsprung;;
Wechsler;Jürgen;;male;06.02.2001;;x;14;Weitsprung;;
Jaeger;Jana;;female;11.07.2001;x;;14;Hochsprung;;
Baier;Patrick;;male;4/25/1998;x;;17;Hochsprung;;
Bosch;Nadine;;female;12.10.2002;;x;13;Weitsprung;;
Hartmann;Stephan;;male;12/14/2002;;x;13;Weitsprung;;
Durr;Max;;male;07.09.1999;;x;16;Weitsprung;;
Mehler;Lena;;female;11/28/1997;;x;18;Weitsprung;;
Friedman;Barbara;;female;3/26/1998;x;;17;Hochsprung;;
Muench;Jana;;female;02.08.1998;x;;18;Hochsprung;;
Frey;Jan;;male;2/22/2002;;x;14;Weitsprung;;
Traugott;Dirk;;male;11.09.2000;;x;15;Weitsprung;;
Brauer;Thorsten;;male;8/31/2001;;x;14;Weitsprung;;
Hertzog;Mario;;male;1/27/1998;;x;18;Weitsprung;;
Theiss;Swen;;male;06.04.2000;x;;15;Hochsprung;;
Baum;Luca;;male;11.10.2001;;x;14;Weitsprung;;
Dresner;Jennifer;;female;2/13/2001;x;;15;Hochsprung;;
Amsel;Kerstin;;female;8/27/2001;;x;14;Weitsprung;;
Neustadt;Nadine;;female;6/14/2002;;x;13;Weitsprung;;
Bauer;Diana;;female;12.04.2001;;x;14;Weitsprung;;
Fink;Patrick;;male;8/19/1999;;x;16;Weitsprung;;
Koertig;Robert;;male;04.10.1998;x;;17;Hochsprung;;
Holtzmann;Antje;;female;11.04.1998;;x;17;Weitsprung;;
Blau;Matthias;;male;08.06.1999;x;;16;Hochsprung;;
Zimmerman;Johanna;;female;3/16/1998;;x;17;Weitsprung;;
Kluge;Anne;;female;5/21/2000;x;;15;Hochsprung;;
Ehrlichmann;Yvonne;;female;8/21/1997;x;;18;Hochsprung;;
Fuerst;Johanna;;female;3/29/2002;;x;13;Weitsprung;;
Frei;Tim;;male;02.10.1998;x;;18;Hochsprung;;
Eisenberg;Diana;;female;9/29/2002;;x;13;Weitsprung;;
Eisenhauer;Sandra;;female;03.03.1998;;x;18;Weitsprung;;
Amsel;David;;male;05.02.2001;;x;14;Weitsprung;;
Koertig;Patrick;;male;8/21/1999;x;;16;Hochsprung;;
Neustadt;Karolin;;female;02.02.1999;;x;17;Weitsprung;;
Fenstermacher;René;;male;1/27/2000;;x;16;Weitsprung;;
König;Maik;;male;02.03.2002;;x;14;Weitsprung;;
Mayer;Bernd;;male;08.12.1999;;x;16;Weitsprung;;
Hofmann;Dirk;;male;1/31/2001;x;;15;Hochsprung;;
Baumgartner;Benjamin;;male;03.01.2002;x;;14;Hochsprung;;
Amsel;Anne;;female;04.08.1998;;x;17;Weitsprung;;
Fink;Marco;;male;10.02.2000;;x;15;Weitsprung;;
Fruehauf;Lucas;;male;06.04.2001;;x;14;Weitsprung;;
Gerber;Frank;;male;10/22/2000;x;;15;Hochsprung;;
Schulze;Leon;;male;10/28/1999;;x;16;Weitsprung;;
Neudorf;Stefanie;;female;07.02.1998;;x;17;Weitsprung;;
Aachen;Matthias;;male;03.06.1999;x;;16;Hochsprung;;
Reinhardt;Thorsten;;male;10/28/1998;;x;17;Weitsprung;;
Metzger;Sven;;male;7/26/1998;;x;17;Weitsprung;;
Himmel;Patrick;;male;9/17/2000;x;;15;Hochsprung;;
Keller;Barbara;;female;4/17/2002;;x;13;Weitsprung;;
Scherer;Michelle;;female;05.08.1999;;x;16;Weitsprung;;
Zimmer;Melanie;;female;01.03.1998;;x;18;Weitsprung;;
Cole;Juliane;;female;07.12.2001;x;;14;Hochsprung;;
Maier;Matthias;;male;07.10.2002;;x;13;Weitsprung;;
Wirth;Kristin;;female;12.04.2002;;x;13;Weitsprung;;
Wechsler;Vanessa;;female;11/16/1998;x;;17;Hochsprung;;
Köhler;Leonie;;female;05.09.2001;;x;14;Weitsprung;;
Fruehauf;Leah;;female;11/24/1999;;x;16;Weitsprung;;
Aachen;Eric;;male;04.12.1997;x;;18;Hochsprung;;
Gruenewald;Ulrich;;male;7/16/1999;x;;16;Hochsprung;;
Bar;Andrea;;female;08.05.1997;;x;18;Weitsprung;;
Neumann;Gabriele;;female;3/30/2001;;x;14;Weitsprung;;
Berg;Sophia;;female;10/31/2000;;x;15;Weitsprung;;
Koch;Dominik;;male;04.09.2000;x;;15;Hochsprung;;
Fried;Vanessa;;female;02.12.1999;;x;17;Weitsprung;;
Schroder;Markus;;male;2/24/2000;x;;16;Hochsprung;;
Grunwald;Klaus;;male;09.10.1997;;x;18;Weitsprung;;
Goldschmidt;Vanessa;;female;4/29/1998;x;;17;Hochsprung;;
Hofmann;Marcel;;male;10/24/1998;;x;17;Weitsprung;;
Krause;Jan;;male;07.05.2002;;x;13;Weitsprung;;
Gloeckner;Klaudia;;female;12/17/1999;;x;16;Weitsprung;;
Becker;Klaus;;male;02.11.2001;;x;15;Weitsprung;;
