Nachname;Vorname;Gender;Klasse;Birthday;Disziplin;Age
Sommer;Thomas;male;;1/18/2003;Weitsprung;13
Schulze;Jennifer;female;;9/24/2002;Weitsprung;13
Köhler;Mike;male;;4/25/1998;Hochsprung;17
Rothstein;René;male;;6/24/1998;Weitsprung;17
Ostermann;Christian;male;;9/26/1998;Weitsprung;17
Egger;Paul;male;;7/28/1998;Weitsprung;17
Krueger;Ralf;male;;4/27/1999;Hochsprung;16
Moeller;Markus;male;;12.11.1997;Hochsprung;18
Huber;Steffen;male;;06.03.1997;Weitsprung;18
Freitag;Klaus;male;;10/28/1998;Hochsprung;17
Rothstein;Kristin;female;;12.10.2001;Hochsprung;14
Gottschalk;Gabriele;female;;5/30/2000;Hochsprung;15
Decker;Thorsten;male;;6/21/1997;Hochsprung;18
Dietrich;Sara;female;;8/13/2002;Weitsprung;13
Maurer;Sara;female;;12/30/2002;Hochsprung;13
Busch;Ralph;male;;02.01.1998;Weitsprung;18
Frey;Nicole;female;;8/23/1998;Weitsprung;17
Vogel;Sandra;female;;04.11.1999;Hochsprung;16
Egger;Michael;male;;10/15/2002;Weitsprung;13
Kirsch;Birgit;female;;6/14/1997;Weitsprung;18
Drescher;Mike;male;;8/23/1999;Weitsprung;16
Ebersbach;Steffen;male;;10/28/2000;Weitsprung;15
Bumgarner;Niklas;male;;05.04.2002;Weitsprung;13
Peters;Benjamin;male;;9/29/1998;Hochsprung;17
Ostermann;Petra;female;;5/30/2000;Hochsprung;15
Lemann;Michael;male;;04.11.1997;Hochsprung;18
Herman;Lucas;male;;8/22/1997;Hochsprung;18
Engel;Thomas;male;;8/24/1999;Weitsprung;16
Adler;Gabriele;female;;3/23/2000;Hochsprung;15
Beike;Martin;male;;5/15/1997;Weitsprung;18
Wechsler;Jürgen;male;;06.02.2001;Weitsprung;14
Jaeger;Jana;female;;11.07.2001;Hochsprung;14
Baier;Patrick;male;;4/25/1998;Hochsprung;17
Bosch;Nadine;female;;12.10.2002;Weitsprung;13
Hartmann;Stephan;male;;12/14/2002;Weitsprung;13
Durr;Max;male;;07.09.1999;Weitsprung;16
Mehler;Lena;female;;11/28/1997;Weitsprung;18
Friedman;Barbara;female;;3/26/1998;Hochsprung;17
Muench;Jana;female;;02.08.1998;Hochsprung;18
Frey;Jan;male;;2/22/2002;Weitsprung;14
Traugott;Dirk;male;;11.09.2000;Weitsprung;15
Brauer;Thorsten;male;;8/31/2001;Weitsprung;14
Hertzog;Mario;male;;1/27/1998;Weitsprung;18
Theiss;Swen;male;;06.04.2000;Hochsprung;15
Baum;Luca;male;;11.10.2001;Weitsprung;14
Dresner;Jennifer;female;;2/13/2001;Hochsprung;15
Amsel;Kerstin;female;;8/27/2001;Weitsprung;14
Neustadt;Nadine;female;;6/14/2002;Weitsprung;13
Bauer;Diana;female;;12.04.2001;Weitsprung;14
Fink;Patrick;male;;8/19/1999;Weitsprung;16
Koertig;Robert;male;;04.10.1998;Hochsprung;17
Holtzmann;Antje;female;;11.04.1998;Weitsprung;17
Blau;Matthias;male;;08.06.1999;Hochsprung;16
Zimmerman;Johanna;female;;3/16/1998;Weitsprung;17
Kluge;Anne;female;;5/21/2000;Hochsprung;15
Ehrlichmann;Yvonne;female;;8/21/1997;Hochsprung;18
Fuerst;Johanna;female;;3/29/2002;Weitsprung;13
Frei;Tim;male;;02.10.1998;Hochsprung;18
Eisenberg;Diana;female;;9/29/2002;Weitsprung;13
Eisenhauer;Sandra;female;;03.03.1998;Weitsprung;18
Amsel;David;male;;05.02.2001;Weitsprung;14
Koertig;Patrick;male;;8/21/1999;Hochsprung;16
Neustadt;Karolin;female;;02.02.1999;Weitsprung;17
Fenstermacher;René;male;;1/27/2000;Weitsprung;16
König;Maik;male;;02.03.2002;Weitsprung;14
Mayer;Bernd;male;;08.12.1999;Weitsprung;16
